x,y
1,0
0.999752668964428,-3.64327041374305e-05
0.999483220515085,-7.61667371497391e-05
0.999189680772529,-0.000119434747654176
0.998869911073565,-0.000166544633298459
0.998521588912899,-0.000217851260495688
0.998142183559206,-0.000273700159064378
0.997728948818779,-0.000334496110725783
0.99727890037722,-0.000400676058527942
0.996788793617856,-0.000472694719898361
0.996255107514892,-0.000551061591161361
0.995674020559316,-0.000636334345501042
0.995041383792509,-0.000729103553215192
0.994352691680448,-0.000829974084225668
0.993603071357225,-0.000939683911182879
0.99278723324962,-0.00105897155415533
0.991899440836581,-0.00118858616516596
0.990933508869371,-0.00132950564757758
0.989882708213665,-0.00148252732110861
0.988739799478027,-0.0016487532319729
0.987496945266414,-0.0018292558434776
0.986145668774298,-0.00202506979564137
0.984676886283226,-0.00223770632697954
0.983080700486435,-0.0024680213428875
0.981346629563199,-0.00271810487604701
0.979463163593691,-0.00298851188851256
0.977418255706659,-0.00328198076335613
0.97519862687972,-0.00359889656562487
0.972790474400887,-0.00394252582851226
0.970178572818332,-0.00431300291611483
0.967347240119275,-0.00471436099157803
0.964279117398545,-0.00514615793400545
0.960956584223913,-0.00561365272686439
0.957359953527125,-0.00611511000730631
0.953469669339894,-0.0066575096844312
0.949263697210236,-0.00723781253443125
0.94472049526611,-0.00786419354950659
0.939815886065285,-0.00853311227808279
0.934526327185694,-0.00925270457395938
0.928825925966065,-0.0100202554888753
0.92268920776218,-0.0108418645842477
0.916089359978916,-0.011718233974733
0.90899904549023,-0.0126495757605127
0.901391890147106,-0.0136450622545503
0.893238727267249,-0.0146924118266732
0.884515086872493,-0.0158130445393318
0.875191495019792,-0.0169842019337561
0.865245702072665,-0.0182317244161081
0.854650434519489,-0.0195294942274736
0.843386428066195,-0.0209000058987266
0.831432430409558,-0.0223295687820683
0.818771899537386,-0.0238178085620046
0.805392432750654,-0.0253692568178395
0.791284417999901,-0.0269764267428175
0.776442673033653,-0.0286282496831961
0.760869069399666,-0.0303288426130924
0.74457012082417,-0.0320713942509975
0.727558641761424,-0.0338484109000925
0.709854141624366,-0.0356516692699072
0.691483119323139,-0.0374721938463254
0.672479249987529,-0.0393002684590409
0.652883420356128,-0.0411254357206707
0.632743624669013,-0.0429365592562832
0.612114692556524,-0.0447218934854099
0.591057850503262,-0.0464691898435045
0.569640115051852,-0.0481658088425298
0.547933529994579,-0.0497988769157007
0.526013866865445,-0.0513497449777123
0.50396031096388,-0.0528033882508764
0.481854577484518,-0.0541535209521295
0.459778744014917,-0.0553882684896203
0.437814489326347,-0.0564965302181021
0.416041905277639,-0.0574678696495565
0.394538163850011,-0.0582866839164694
0.373376985272716,-0.0589440390762683
0.35262775077796,-0.0594458228422543
0.332353911064333,-0.0597907632559233
0.312612609776656,-0.0599647491225869
0.293454634406559,-0.0599675833956704
0.274923709453373,-0.0598151205257385
0.257056268853622,-0.0595094177903501
0.239881774737514,-0.0590496983527971
0.223422991339676,-0.0584338357412982
0.207695114163138,-0.057683746102219
0.192707255741073,-0.0568081794183508
0.178462487384826,-0.0558176488089245
0.16495821128851,-0.0547247951677911
0.152188279820917,-0.0535277790488368
0.140142249933636,-0.052230505501385
0.128803038149447,-0.0508630358776605
0.118149485540873,-0.0494529181916484
0.108161321433564,-0.0479974850475114
0.0988237402880532,-0.0464553923804674
0.0901036712491731,-0.044890663817351
0.0819751556264558,-0.0433076638665791
0.0744115970730117,-0.0417106872016183
0.0673890407673086,-0.0400917476205484
0.0608829703948607,-0.0384492300951573
0.0548613211144324,-0.0368102498240941
0.0492977476221528,-0.0351778053326392
0.0441666089487071,-0.033554532533343
0.0394430588753779,-0.0319429104343347
