mode	dimension	np	steps	wall_s	core_h	PS	phase	maxVS	data_sum_GB	data_max_GB	mem_sum_GB	mem_max_GB
both_on	2	64	640	775.863218	13.79312388	19232	46431830	4753	7.54425722	0.23632996	77.56298447	1.29658890
both_off	2	1024	640	10849.700824	3086.13712322	131072	8589934592	65536	1389.09957922	1.39410733	2814.42206192	4.12282181
